City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
271,Goderich,43.7501,-81.7165,14.92,79,100,9.22,CA,overcast clouds
272,Stonewall,50.1344,-97.3268,-4.29,98,100,7.11,CA,light snow
273,Qinzhou,21.95,108.6167,52.2,60,100,15.08,CN,overcast clouds
274,Taoudenni,22.6783,-3.9836,60.64,21,27,8.97,ML,scattered clouds
275,La Ronge,55.1001,-105.2842,-14.55,70,0,6.91,CA,clear sky
276,Champerico,14.3,-91.9167,80.35,70,13,6.69,GT,few clouds
277,Bilma,18.6853,12.9164,50.23,34,0,11.36,NE,clear sky
278,Abu Samrah,35.3029,37.1841,42.76,94,99,2.53,SY,overcast clouds
279,Charlottetown,46.2352,-63.1267,30.2,75,100,20.0,CA,light snow
280,Yuli,9.6989,10.2744,64.47,21,14,8.79,NG,few clouds
281,Kanker,20.2719,81.4931,74.89,53,1,14.09,IN,clear sky
282,Ust-Kut,56.7938,105.7672,10.67,87,100,4.63,RU,overcast clouds
283,Ileza,61.0533,43.9002,-10.1,100,100,1.57,RU,overcast clouds
284,Calca,-13.3333,-71.95,51.15,85,96,4.38,PE,moderate rain
285,Kibala,9.1104,18.3463,66.15,27,0,0.0,TD,clear sky
286,Imbituba,-28.24,-48.6703,78.82,93,15,14.32,BR,few clouds
287,Bathsheba,13.2167,-59.5167,75.81,73,40,11.5,BB,scattered clouds
288,Bud,39.447,-86.1758,21.85,93,100,15.23,US,light snow
289,Puerto Escondido,15.85,-97.0667,74.23,78,0,5.75,MX,clear sky
290,Sao Joao Da Barra,-21.6403,-41.0511,73.27,98,98,5.57,BR,overcast clouds
291,Barra Patuca,15.8,-84.2833,75.49,87,3,9.01,HN,clear sky
292,Mangrol,21.1167,70.1167,67.32,37,9,3.49,IN,clear sky
293,Saint-Augustin,51.226,-58.6502,5.31,74,100,13.98,CA,overcast clouds
294,Bengkulu,-3.8004,102.2655,80.4,76,97,2.73,ID,overcast clouds
295,Ekpoma,6.7421,6.139,68.99,88,7,2.24,NG,clear sky
296,Sharhorod,48.7383,28.085,16.03,98,84,3.13,UA,broken clouds
297,Necochea,-38.5473,-58.7368,64.04,95,78,7.16,AR,broken clouds
298,Somerton,32.5964,-114.7097,54.01,21,0,6.91,US,clear sky
299,Atkinson,42.8384,-71.147,43.43,96,100,1.01,US,light rain
300,Atasu,48.6814,71.6433,4.35,80,0,5.64,KZ,clear sky
301,Tuatapere,-46.1333,167.6833,52.83,91,100,4.23,NZ,light rain
302,Morro Bay,35.3658,-120.8499,52.12,74,53,2.39,US,broken clouds
303,Isangel,-19.55,169.2667,84.31,84,100,4.61,VU,moderate rain
304,Saint Anthony,45.0205,-93.218,1.02,66,0,4.61,US,clear sky
305,Nkayi,-4.1841,13.2884,72.32,95,100,0.56,CG,overcast clouds
306,Noumea,-22.2763,166.4572,89.58,93,97,8.5,NC,overcast clouds
307,Marakkanam,12.2,79.95,77.2,69,5,5.08,IN,clear sky
308,Talcahuano,-36.7167,-73.1167,60.48,88,0,2.3,CL,clear sky
309,Ponta Do Sol,32.6667,-17.1,67.01,71,19,3.53,PT,few clouds
310,Dharchula,29.85,80.5333,44.62,96,100,1.34,IN,overcast clouds
311,Naze,28.3667,129.4833,54.52,70,98,16.46,JP,overcast clouds
312,Vardo,70.3705,31.1107,14.2,64,100,14.14,NO,light snow
313,Klaksvik,62.2266,-6.589,34.72,77,97,50.06,FO,light snow
314,Nishihara,26.1842,127.7558,63.68,77,75,20.71,JP,broken clouds
315,Fukue,32.6881,128.8419,46.76,49,75,16.11,JP,broken clouds
316,Lompoc,34.6391,-120.4579,53.92,81,0,0.0,US,mist
317,Mount Gambier,-37.8333,140.7667,75.11,43,40,18.41,AU,scattered clouds
318,Keita,14.7551,5.7749,56.93,18,0,18.14,NE,clear sky
319,Bintulu,3.1667,113.0333,88.21,74,40,5.75,MY,scattered clouds
